label,event,target_text,response_text
concur,Santa_Fe_Shooting,School district shuts down information after Stoneman Douglas shooting - https://t.co/HUQnKvt4LY @RobertwRuncie needs to resign!,"@KyleKashuv @RobertwRuncie Not just shutdown information but ""...put out untrue and misleading statements...""  that is #propaganda.
#Broward #NRA #StonemanDouglas #MAGA"
neutral,Student_Marches,"Hopefully the Laura Ingraham blow-up will teach conservatives: You are not ""debating"" gun control when you insult survivors of a mass slaughter for advocating laws you dont agree with. You are just being infantile bullies.

Wanna debate POLICY? Great. Wanna insult kids? Shut up.","It amazes me how many people try justifying the bullying and the lies by saying ""these kids deserve it, they stepped up to the podium.""  NO. Argue against the message, not the person delivering it. #StopBullying https://t.co/Z7UlqnUnG7"
concur,General_Terms,"🚨 Maxine Waters: Flag-Burning Protesters Furthered 'Their Own Agenda'! 

You Started The War Lady!

#MaxineWaters
#Bimbo
#BluestarZone

https://t.co/A2E4y9q7Gp https://t.co/GeZi4IdbO6","Phony Dirtbags like you will go down, take freeloaders moulinyan,,, go back to Africa,,, where is a better place,, then USA... Fuck all demoRats 10 trillion times...!* https://t.co/OC2Rwwwzwp"
oppose,Student_Marches,"Ted Nugent says Parkland students calling for gun control have ""no soul"" https://t.co/UkqBqv3VS1 https://t.co/DTZgk9iBYe","Ted Nugent you are coward and a fake soldier . You all talk, I hope the brothers overseas get to you this year. Trust me you are a target fucking traitor! https://t.co/GfidRgC2R6"
oppose,General_Terms,"Trump calls for end of Mueller probe, saying it’s ""discredited"" by Carter Page surveillance https://t.co/osN6EIC0DQ",@washingtonpost When are you (and other media sources) going to start putting these stories in context and HOLD HIM ACCOUNTABLE for his lies??  These headlines just fire up his base as they obviously don't read the whole story!!!
neutral,General_Terms,not doing well https://t.co/km7au4Gqf5,@emmachambie Everything is a lie.
neutral,General_Terms,,@charliespiering Wrong information should be added to reports given them and we can see easily who leaked what.
concur,Santa_Fe_Shooting,"Alex Jones is being sued by six more families of victims killed in the Sandy Hook school shooting, which he called a hoax. The families have been tormented by him while receiving death threats from his fans. Hope they leave him as financially bankrupt as he is morally bankrupt.",These people have to be held morally &amp; financially responsible for distributing fake news &amp; lies which cause their viewers to commit illegal acts. We have to get a journalistic system of accountability!! https://t.co/TfBXkGmkOJ
oppose,Iran_Deal,"""We cannot prevent an Iranian nuclear bomb under the decaying and the rotten structure of the current agreement. The Iran deal is defective at its core...the US will withdraw from the Iran nuclear deal...&amp; begin reinstating U.S. Nuclear sanctions on the Iranian regime."" -POTUS https://t.co/3T1C8sKG8f","@PoliticalShort I never thought I'd see the day when we would have a president that BLATANTLY lies to the American population on television the way this one does, especially about something as dead serious as Iran. #Impeach45"
concur,Student_Marches,"So Nikolas Cruz was bullied by the students at Marjory Stoneman Douglas high school.

Very very interesting.

Here's Emma Gonzalez admitting it.

Listen. 

""those talking about how we should've NOT ostracized him... YOU DIDN'T KNOW THIS KID! OK? WE DID!"" https://t.co/lp4a0tqP8H","@Fuctupmind Ok wake up moment for adults at that rally, he was bullied since middle school? And the fault lies with the NRA, 2A supporting citizens, Guns? NO The school system has taken out the only one can help;You kicked out God and his principals."
concur,Iran_Deal,,The Trump White House lying about US Intelligence? Color me surprised https://t.co/2tQxxKhFy0
concur,General_Terms,Today's indictment is major... &amp; it's only Monday. This is gonna be a crazy week.,"@Prehab212 I just like how they saved it for after Trump said Russia was not involved in anything. I also like how every time he speaks he's proven to be lying.

I dislike how little that all seems to matter."
oppose,Santa_Fe_Shooting,,@NRA @GovMaryFallin So why no carry at your bullshit convention?? Ohh...Dump and Wince were there.
oppose,Santa_Fe_Shooting,"UMW is bigger than the NRA. We should be in charge. #UMWAssembly2018 
Marian Wright Edelman.","@LoriStaats I don’t think so. NRA...5 million, UMW...less than 500,000. She’s wrong."
concur,General_Terms,Thick women are life😍,Tell me about it 😍😍 once U go thick there is no coming back....my Fav meal https://t.co/0nyf7uwb6T
oppose,Student_Marches,Here's an op-ed I drafted on why I don't believe Trump will or should or would fire Mueller: Trump Won’t Fire Mueller Because It Would Be A YUGE Signal Of Weakness To His Base: https://t.co/NfydOMJHnU cc @mattklewis @jbarro,"@LizMair @mattklewis @jbarro “President Trump is not going to fire Mueller. There, I said it.”

You are wrong. There, I said it.

He’s not officially a criminal target now. But that’s just Mueller playing rope-a-dope. Trump predictably WILL be a target. Trump is a coward and he is going to fire Mueller. Bet?"
neutral,General_Terms,I saw this written on the bathroom wall in #Dublin @fasterpussycat https://t.co/XQXICql92G,"@CarrieStevensXO @fasterpussycat Problem with adults is they get the notion that first they need a ""reason"" to be happy, when in fact nature's design is that happy is a normal condition. ""There is no path to happiness, happiness IS the path!""..Buddha."
concur,Santa_Fe_Shooting,,"@realDonaldTrump This is on you, you lying NRA puppet. #VetsVstheNRA #marchforourlives"
neutral,Student_Marches,"Mediaite founder &amp; ABC chief legal analyst Dan Abrams to CNN on those celebrating advertisers fleeing Laura Ingraham's Fox program: “It’s a dangerous business when we start celebrating ‘the advertisers are pulling out!’ Because you know what? That can happen to either side."" Yup.",@JoeConchaTV @HLAurora63 I am surprised fake news stations like them have any advertisers at all. Very poor ratings!
oppose,Santa_Fe_Shooting,"Parent of Indiana middle school shooting survivor: ""This happens in high school, not here"" https://t.co/P1wus2kHqD https://t.co/LIJ6AKwBM9",Wrong. This happens absolutely EVERYWHERE and our representatives don’t do anything to fix it. https://t.co/94ow46JWFb
neutral,General_Terms,Given a chance.. what movie character would you like to play ?,"@Sohni_Bose Fiction: Captain America

Non-fiction: Ved of Tamasha"
oppose,Santa_Fe_Shooting,,"@FoxNewsSunday @careerfed @NRA The 2nd Amendment, and your false interpretation of it and the reasons for its existence, are the problem. The disease is in the minds of the leaders of the NRA. You don't lobby for gun safety, you lobby for gun makers. Civilians don't *need* an AR-15. Stop defending with lies."
oppose,Santa_Fe_Shooting,,"@realDonaldTrump Too late to retreat your first tweet with lies, who wrote this for you? Be with them forever? Tell that to the families whose kids will not come home today and the rest of the kids in this world living in fear as they experience yet another school shooting. You are inhumane!"
oppose,Iran_Deal,,I think we had enough of the Clinton era of political lies and mistakes. Just look how well your husband's North Korea appeasement policy worked out for us. https://t.co/dscyF2WvCJ
oppose,General_Terms,,@realDonaldTrump I call BS on that. FAKE PHONE CALLS that never happened. YOU LIE!!!
concur,Iran_Deal,"Imagine if Obama paid Saudi spies to find personal dirt on Bush administration officials who pushed for war in Iraq, such as Donald Rumsfeld.  This is absolutely no different!!

https://t.co/LskFeUoI9g","@realDonaldTrump Your the Total Fake News. Your the Fake President and your name is starting to come down from buildings. Thank you for hiring Crazy Rudy. He lost you more base this last week and helped prove your whole Campaign based on Lies. Divert, Divide and Destroy. #Impeach https://t.co/DavaEpCfsP"
neutral,Santa_Fe_Shooting,"""Thoughts and Prayers""
Fixed it for ya, Republicans.
#GunControl https://t.co/Gu2TnZI2lk",Kinda like fake and impeeeeachhh does for leafy leftists https://t.co/HlVH9q4dOG
neutral,General_Terms,🇨🇺imyyyy girl,@ohthatsslana imy too even though you got the flag wrong lmao
neutral,General_Terms,"A person can be in favor of improving relations with Russia, in favor of meeting with Putin, and still think something is not right here.","@justinamash Would be nice to hear rep Justin Amash elaborate on ""what isn't right here"".  I hope he is not falling for the fantastical Russian interference narrative.  The #DNC has refused to turn over servers to FBI. Why?  There is no evidence, nor can there be without analyzing server."
concur,Santa_Fe_Shooting,"Apparently the art of the deal is to count all your chickens before they hatch, declare yourself worthy of a Nobel Peace Prize before anything actually happens, then take zero responsibility when it predictably falls through. #NorthKorea","HA!

This sums up this fake presidency in a nutshell. 
Let's confiscate all the guns! Forget due process! (then NRA calls)
We love DACA! (Who's we? Then LYAN calls)
And on and on... https://t.co/Cqq5iEeKtq"
concur,General_Terms,"Note to Trump Supporters Once again. When you stalk my Youtube videos, threatening to chop my child up into pieces, or call my home cursing my wife out because I post FACTS on Twitter, my first inclination is to NEVER let up, you sick pieces of cr@p.

You are afraid, not me!!",@krassenstein Omg!  WTF is wrong with these animals.
concur,General_Terms,"BBC Scotland reports ""Trump paraglider was in 'grave danger'""

Yet Police Scotland said ""On this occasion we could assess the situation and we realised there was no direct threat to the president ...""

#SPIN",@BBCScotland continually misleads and lies to the people of Scotland 🏴󠁧󠁢󠁳󠁣󠁴󠁿 Westminster’s little propaganda machine https://t.co/GGp9Ej0IEE
concur,General_Terms,"An IIT student explains how he used his engineering skills to save a diabetic’s life mid-flight https://t.co/4yG2lPQ80R

Karttikeya Mangalam put his lessons from his first year in college to good use and helped a diabetic flyer get his insulin shot. https://t.co/7AbMiCSSra","Retweeted Hrithik Roshan (@iHrithik):

Not fiction anymore. Seemed like it when I read super 30. Not anymore. What a briiliant example of real application of knowledge. Nothing less than Super Hero stuff ! Bravo ! https://t.co/E9OrTHqWHM"
concur,Santa_Fe_Shooting,"Now that Oliver North is the new President of the NRA, watch as Democrats set the all time record for attacking and trashing a war hero. David Hogg got the ball rolling by calling him a drug dealer.","And David Hogg is a good source of ""FAKE"" information. https://t.co/QYtSdmR996"
neutral,General_Terms,Y'alls little president out here buying black supporters from shutterstock. https://t.co/WXUY12LXQZ,"@Freeyourmindkid Well, there's no place else for him to find supporters. He's  a fake kinda guy."
oppose,Iran_Deal,"Quality of education, 2017.

1. Switzerland
2. Singapore
3. Finland

5. US
16. Germany
20. UK
26. France
31. Japan
34. India
35. Indonesia
39. China
52. Russia
54. Saudi
74. Iran
94. Pakistan
99. Turkey
102. Mexico
106. South Africa
119. Brazil
120. Nigeria
129. Egypt

(WEF)",This list strikes me as inaccurate at best. https://t.co/elJKahsjrS
oppose,Santa_Fe_Shooting,,"Yet still does nothing about it, change your gun laws you corrupt clueless fake tanned cunt https://t.co/jUlIunVjZr"
oppose,Iran_Deal,"Almost two-thirds of Americans -- 63% -- believe that the US should not withdraw from the agreement made with Iran to prevent the country from developing nuclear weapons. Only 29% believe the US should withdraw, https://t.co/dCl3s8ruRu","@DeanObeidallah Maybe because the media keeps lying when they say the deal will prevent Iran from developing nukes. Even IF they follow it to the letter, which they aren’t."
concur,Iran_Deal,Virginia State Senator Richard Black gives 7 reasons why the #Assad govt would not have used CW in #Douma last month. They are nothing we don't already know but maybe if Americans heard them from an all-American veteran &amp; patriot they'd be more prepared to listen #Syria https://t.co/PDoJVbYwjt,"False flag we all know that except the MSM &amp; our western governments 
its all a pretext 2 prepare the ground 4 US/Saudi,Israeli intervention 
because of Iran. As an Armenian I know Christians frm the M.E. R all pro Assad many even pro Hezbollah s they fought ISIS/AQ side by side. https://t.co/gzUTTRkfeO"
concur,Iran_Deal,I have served with foreign Soldiers and armies all my professional life - including Iranian. The American Military word was trusted. I deeply regret @realDonaldTrump decision to walk away from the Iran Deal. He dishonors America and puts us and our allies at risk. #IranDeal,"Who do you trust? Self-absorbed @GOP hacks &amp; a Con-Job Liar'n Chief who is SO spastic he can't read/listen to his Daily Briefing OR numerous European Countries astute leaders, like Pres.@EmmanuelMacron, life-time Generals &amp; experts, in the know, who study &amp;/or live in the region? https://t.co/QyczEnMPZe"
concur,General_Terms,".@Drake is unstoppable.
https://t.co/tlAzPZ3gK8",Number don’t lie. https://t.co/vfdEBCjREk
oppose,Santa_Fe_Shooting,"The Texas shooter was:

Bullied by coaches 
Had mental problems 
Wore communist and Nazi pins 
Illegally obtained the weapons 
Entered a gun free zone 

How is any of this the @NRA fault? 

🤔",@charliekirk11 @RoRoscoe @NRA The nazi pin is bullshit. So dont put a claim were it does not belong
oppose,Santa_Fe_Shooting,"Absolutely tragic reports coming out of Santa Fe. It is horrific that this happens again and again. More families affected by yet another senseless shooting. While we are just learning the details of what happened, I am thankful for the first responders on the scene.","@SenToomey WHAT?!!! No ""thoughts&amp;prayers"" standard BS from you? Will you be able to keep your GOP NRA good standing? Of course you will because you still offer NOTHING to fix these massacres! The GOP &amp; you- in the pocket of NRA &amp;big biz FOREVER! YOU ARE USELESS to your VOTERS but don't GAS"
concur,General_Terms,"Legit question: What level of sexual misconduct is ""priced in"" with Trump? In other words, what revelation would actually cause serious degradation in his support?","@DavidAFrench For evangelicals it would have to be something that's pretty recent, because he's been ""saved"" and cleansed of his past sins because of his fake repentance."
oppose,General_Terms,Crushes are stupid especially when you don’t even know the person🙄,@_sarcasm__ False
oppose,General_Terms,See this for what it is. An attempt by complicit Republicans led by Meadows and Jordan to delegitimize a probe being conducted by DOJ.  These Trump lackeys have to decide what they value: the rule of law or doing everything to protect Trump. Be strong DOJ. https://t.co/gbuTWEUVdt,@EricHolder You’re such a partisan hack. The FISA app clearly shows there’s no evidence. It’s all bullshit. It’s over Eric. MAGA
oppose,Iran_Deal,"Iran got its money unfrozen. 
Has been verified 10 times, to be following the deal
Trump torched the deal
Now Iran doesn’t have to follow the deal.
And can go back to building nukes.
Because Trump reneged on the deal.

They got all their money back AND can build nukes?

Shit deal","@TitusNation Thing is, Iran was already in material breach, unless all the intel from Israel was phony. Personally, I believe Israel because they are the ones who have been threatened with nuclear annihilation by Iran. https://t.co/WSsCcHXGCD"
concur,Iran_Deal,"Based on all signs it appears as though today will mark the end of the awful Iran Deal made by the incompetent Obama Administration.

Here is a Thread of some of the most ridiculous Obama Administration explanations of the Iran Deal. #TuesdayThoughts 1/ https://t.co/W3wANGdJqr","Obama did nothing but speak LIES to the American people, an embarrassment to America https://t.co/OULWFmH0aS"
oppose,General_Terms,"If the U.S. can't even trust Putin enough to have a talk with him, why did Barack's and Hillary's regime sell Putin 20% of American Uranium?

#Helsinki2018",@CoreyStewartVA THIS IS A DAMN LIE!!!!
oppose,Iran_Deal,#SmallBiz are the job creators and the backbone of the American economy. We are working to ensure that communities all over America have the opportunity to positively benefit from these businesses. This is why we passed @CathyMcMorris’s Spurring Business in Communities Act.,@HouseGOP @cathymcmorris Bullshit look what the MORON you bow down too has done to the Country turned it into a rabid country with no HONOR. If Iran can't have Nucs why can Israel. Iran will restart their nuclear weapons program as you have given them no choice. You're following Traitor Trump to hell.
neutral,General_Terms,What if mullen pulls in Pittman,Relentlessly wrong https://t.co/GUkYcGzRAJ
oppose,Santa_Fe_Shooting,,Get the FUCK out of here with this bullshit... https://t.co/26GizvGMoo
concur,Santa_Fe_Shooting,"You cannot make this up.  The NRA says video games are the reason for gun violence.  Well, Ollie North, the guy who calls me a criminal civil terrorist worked as an advisor on Call Of Duty.  Watch this video.  UNBELEIVABLE!!!
https://t.co/BgkS3HU5NS","@fred_guttenberg One day the @NRA starting lying, and they have spun such a web of deceit, they cannot stop!"
oppose,Iran_Deal,"The price of oil is plunging ahead of President Trump’s announcement on the Iran nuclear deal https://t.co/MzX8W43vhA

Follow live updates: https://t.co/k2ZSgV3hfj","@CNN BS the deal allowed Iran to flood the market,  initially with other foriegn producers, to bankrupt US shale producers. It didn't work and the US is still energy independent. No thanks to Obama and crew."
concur,Iran_Deal,,How dumb are they! We all knew before they did. Nothing but lies came from that WH. https://t.co/wCEQe6bVuQ
oppose,General_Terms,"I fight for increased funding to the @NIH to support research for rare diseases like hereditary angioedema. I was humbled to be honored by @US_HAEA as one of two recipients of the Distinguished Public Service Award, but their advocacy is what we should all recognize. https://t.co/FsRCLjfiP6","@RepDavidYoung @NIH @US_HAEA Rep Young fights tirelessly to enact the Koch agenda. He’s a gaslighter who presents a good image for votes and money but lies continually and fails to keep his promises. He’s working against farmers, and is not their representative in Congress at all"
oppose,Iran_Deal,Honored to meet with the Israeli Ambassador today. Need to hold Iran accountable for the deaths of US Military personnel and spreading terrorism around the globe... https://t.co/wA8Ak3IpeV,"BullShit @DevinNunes concentrate on that shit Mueller &amp; RodRosenstein Pulling disgracing American Congress&amp;Senate @GOP @realDonaldTrump ""Don't pull that shit that Iran Spreading Terrorism when General Dempsey said @KingSalman &amp; @netanyahu Arms&amp;Funds ISIS-AlQaeda"" Shame On YOU. https://t.co/jPS84hJtEj"
neutral,Student_Marches,"With more than 800 exhibitors spanning 15 acres of exhibit hall space, there's something for every shooting sports enthusiast, hunter, outdoorsman or #2A supporter at #NRAAM! Check out the full list of exhibitors and start planning your trip to Dallas: https://t.co/BhkbPNgZML https://t.co/SJX8G9Af0h","@AnnualMeetings @NRA Thats good and all, but what securites does our goverment fake purchases for others there wont happen more by nature than what could happen in a store retailer concidering most people get nervious more in stores with concerns to illegal gun buying by one for transit to another."
oppose,Iran_Deal,Trump’s dirty ops attack on Obama legacy shows pure hatred for Iran deal  https://t.co/wyuICsDvkw,"Obamas legacy is full of lies and deceit, Trump isn't Obama, so fuck Iran deal..@realDonaldTrump @POTUS .. https://t.co/q73x4s8C2w"
concur,General_Terms,"This is HUGE!!!!
BOMBSHELL: Forensic Analysis Shows Clinton Emails, except 4 of over 30K, Were Funneled to a ‘Foreign Entity’ unrelated to Russia!
The OBAMA  FBI, DOJ, CIA &amp; NSA DID NOTHING.
Clinton is guilty as sin.
https://t.co/e3O0RVNs4R",America no longer trusts the FBI! Hillary destroyed information while under investigation which is the definition of OBSTRUCTION OF JUSTICE yet no prosecution! Fake Trump dossier starts DEEP STATE investigation! NO TRUST!! #realdonaldtrump https://t.co/5T2dq24pZf
neutral,General_Terms,Susan Collins says she won’t support a Supreme Court nominee who’s hostile to Roe v. Wade https://t.co/HePz6WXgaS,"@voxdotcom All they have to do is lie when questioned.  Then, when Roe is overturned Collins can say, ""But he/she told me they were against it.  It's not my fault."""
neutral,Iran_Deal,Statement by @PressSec on #Israel announcement related #Iran “nuclear weapons development.” https://t.co/RlpCFl1ElM,"cc @PatrickBuchanan . Pat, you were wrong again. For us listeners of the @seanhannity show, we knew you weren’t making sense today (I say this respectfully). The USA confirms Israel’s findings. You just hate Bibi (or hate Israel), one of the two. It was so obvious in your tone. https://t.co/bwMvId4HTI"
neutral,Iran_Deal,"John Kerry can’t get over the fact that he had his chance and blew it! Stay away from negotiations John, you are hurting your country!","@realDonaldTrump Great men make great decision , fake ones threaten those gains, #IRANDEAL, HISTORY will judge!"
oppose,General_Terms,"A total disgrace that Turkey will not release a respected U.S. Pastor, Andrew Brunson, from prison. He has been held hostage far too long. @RT_Erdogan should do something to free this wonderful Christian husband &amp; father. He has done nothing wrong, and his family needs him!",@realDonaldTrump @RT_Erdogan You’re a Disgrace!!! LIAR!!! Accomplice after the fact!!!!       You knew about Putin’s hacking!!!  You were briefed before the inauguration.... can’t wait for the Impeachment!!! You disgust me!!
oppose,Student_Marches,"It’s not false, he won the popular vote in more states. https://t.co/RHGpTA4X9F","@hboulware Well, it is false since he did not win the popular vote. Words have a meaning, you can't just redefine them as you see fit and expect to be taken seriously."
oppose,Santa_Fe_Shooting,,"@NRATV @MrColionNoir The usual lies from the NRA. Couldn't possibly be bullets fired from guns killing all these children. Must be something else, like television, or video games, or doors, or trenchcoats. These scum will be remembered for building a business on the bodies of dead kids."
concur,General_Terms,"It's so weird the way smart people are pretending not to understand that the problem people have with the media and Trump rallies is with the wall-to-wall broadcasting of his unfiltered lies. 

The argument isn't that legitimate news at Trump rallies shouldn't be covered at all.","@ThePlumLineGS The argument is that lies should be named as lies in a way that doesn't repeat/advertise/proclaim the lie. The media have to be smarter than they are used to being--self-aware, self-transparent, awake, aware, alive, of and to themselves! They are not mindless tape recorders!"
concur,Iran_Deal,What the hell?! https://t.co/lTZ9KBt7Ag https://t.co/9KLZwWplqm,There is no bottom. 🤬 https://t.co/2M4ERKwIKm
oppose,General_Terms,"If you’re an American, if you’re a Republican, and you’re not disgusted by Trump’s undermining of US Intellegence Agencies, his dismissal of Russia’s cyber-terrorism against our democratic institutions, and his deference to the murderous Russian leader, YOU ARE A CULT MEMBER.","@ananavarro Nope. False. 

Truth; you are an animal."
neutral,Iran_Deal,"https://t.co/NHqqvqSQp4

This is where the road will lead.
Arming our enemy w/ nuclear weapons capabilities is TREASON.
Notice certain MSM/never-Trump politicians suddenly telling the truth? CNN, NY Times, Lindsey Graham. Rats fleeing a sinking ship. TICK TOCK.
#MondayMotivation","DC THINK TANK: ""COUP TO REMOVE @PresidentTrump AND JAIL HIM"" Democrats Plotted a Coup using FAKE DOSSIER to violently and illegal seizure power from @Potus. Traitors still walking FREE as a Shocked American public watchs the FBI &amp; DOJ Cover up and Ignore Subpoenas from Congress. https://t.co/uOScBCNsMW"
Queries,Santa_Fe_Shooting,"BREAKING: 3 shot, reports of one fatality, following shooting at graduation at Mount Zion High School near Atlanta, Georgia.",What is wrong with people? 😟 https://t.co/hvE79p7HkC
oppose,Santa_Fe_Shooting,"Multiple Dead After Gunman Goes On Rampage In Belgium Yelling 'Allahu Akbar,' Report Says https://t.co/0lOMsLSmJq via @realDailyWire","@ophidianpilot @realDailyWire Fake news once again, Belgium has the same gun control laws as the rest of the EU. This event is clearly not possible, just ask @shannonrwatts"
oppose,Iran_Deal,,"He always makes me want to say, ""Who are you going to believe: Me or your lying eyes?"" Despicable. https://t.co/PyIAZsNglw"
neutral,Iran_Deal,,.@cnn lies https://t.co/PurZUhvfRu
